Stat at 15 August 2023 - 18:24:16.707681: files_count=5, file_size='1M', proc_load='0.09 0.16 0.17 2/618 7352\n'
Stat at 15 August 2023 - 18:24:17.352236: files_count=5, file_size='1M', proc_load='0.25 0.19 0.18 1/618 7374\n'
Stat at 15 August 2023 - 18:24:18.034355: files_count=5, file_size='1M', proc_load='0.25 0.19 0.18 2/618 7404\n'
Stat at 15 August 2023 - 18:24:18.049412: files_count=5, file_size='1M', proc_load='0.25 0.19 0.18 1/618 7408\n'
Stat at 15 August 2023 - 18:24:18.064514: files_count=5, file_size='1M', proc_load='0.25 0.19 0.18 1/618 7412\n'
Stat at 15 August 2023 - 18:24:18.756477: files_count=5, file_size='1M', proc_load='0.25 0.19 0.18 1/618 7440\n'
Stat at 15 August 2023 - 18:24:19.585406: files_count=5, file_size='1M', proc_load='0.25 0.19 0.18 1/618 7488\n'
Stat at 15 August 2023 - 18:24:19.594378: files_count=5, file_size='1M', proc_load='0.25 0.19 0.18 2/618 7492\n'
Stat at 15 August 2023 - 18:24:34.661749: files_count=5, file_size='1M', proc_load='0.53 0.26 0.20 3/618 7528\n'
Stat at 15 August 2023 - 18:24:35.317486: files_count=5, file_size='1M', proc_load='0.53 0.26 0.20 1/618 7550\n'
Stat at 15 August 2023 - 18:24:35.983086: files_count=5, file_size='1M', proc_load='0.53 0.26 0.20 1/618 7580\n'
Stat at 15 August 2023 - 18:24:35.997076: files_count=5, file_size='1M', proc_load='0.53 0.26 0.20 2/618 7584\n'
Stat at 15 August 2023 - 18:24:36.010651: files_count=5, file_size='1M', proc_load='0.53 0.26 0.20 1/618 7588\n'
Stat at 15 August 2023 - 18:24:36.662665: files_count=5, file_size='1M', proc_load='0.53 0.26 0.20 1/618 7616\n'
Stat at 15 August 2023 - 18:24:37.463327: files_count=5, file_size='1M', proc_load='0.73 0.31 0.22 1/618 7664\n'
Stat at 15 August 2023 - 18:24:37.473432: files_count=5, file_size='1M', proc_load='0.73 0.31 0.22 1/618 7668\n'
Stat at 15 August 2023 - 18:37:01.146435: files_count=5, file_size='1M', proc_load='0.27 0.48 0.37 6/609 7791\n'
Stat at 15 August 2023 - 18:37:18.656347: files_count=5, file_size='1M', proc_load='0.27 0.46 0.37 2/609 7822\n'
Stat at 15 August 2023 - 18:39:23.152390: files_count=5, file_size='1M', proc_load='0.41 0.44 0.37 3/608 7867\n'
Stat at 15 August 2023 - 18:40:32.758225: files_count=5, file_size='1M', proc_load='0.38 0.42 0.36 1/614 7941\n'
Stat at 15 August 2023 - 18:41:31.760055: files_count=5, file_size='1M', proc_load='0.55 0.46 0.38 1/615 7978\n'
Stat at 15 August 2023 - 18:44:49.392765: files_count=5, file_size='1M', proc_load='0.17 0.39 0.37 1/613 8017\n'
Stat at 15 August 2023 - 18:46:10.026270: files_count=5, file_size='1M', proc_load='0.33 0.37 0.36 1/611 8057\n'
Stat at 15 August 2023 - 18:46:47.507436: files_count=5, file_size='1M', proc_load='0.28 0.36 0.36 1/611 8086\n'
Stat at 15 August 2023 - 18:47:26.094520: files_count=5, file_size='1M', proc_load='0.43 0.40 0.37 1/611 8114\n'
Stat at 15 August 2023 - 18:48:54.786232: files_count=5, file_size='1M', proc_load='0.24 0.35 0.35 7/614 8153\n'
Stat at 15 August 2023 - 18:49:24.123811: files_count=5, file_size='1M', proc_load='0.36 0.37 0.36 5/612 8182\n'
Stat at 15 August 2023 - 18:50:01.624546: files_count=5, file_size='1M', proc_load='0.20 0.32 0.35 5/613 8214\n'
Stat at 15 August 2023 - 18:50:15.405801: files_count=5, file_size='1M', proc_load='0.23 0.32 0.35 1/613 8246\n'
Stat at 15 August 2023 - 18:51:30.498569: files_count=5, file_size='1M', proc_load='0.09 0.26 0.32 2/611 8287\n'
Stat at 15 August 2023 - 18:55:26.194691: files_count=5, file_size='1M', proc_load='0.24 0.28 0.32 1/611 8377\n'
Stat at 15 August 2023 - 18:55:26.344129: files_count=5, file_size='1M', proc_load='0.24 0.28 0.32 1/611 8401\n'
Stat at 15 August 2023 - 18:55:26.499919: files_count=5, file_size='1M', proc_load='0.24 0.28 0.32 3/611 8433\n'
Stat at 15 August 2023 - 18:55:26.511350: files_count=5, file_size='1M', proc_load='0.24 0.28 0.32 1/611 8437\n'
Stat at 15 August 2023 - 18:55:26.528142: files_count=5, file_size='1M', proc_load='0.24 0.28 0.32 1/611 8441\n'
Stat at 15 August 2023 - 18:55:26.683561: files_count=5, file_size='1M', proc_load='0.24 0.28 0.32 3/611 8471\n'
Stat at 15 August 2023 - 18:55:26.876558: files_count=5, file_size='1M', proc_load='0.24 0.28 0.32 1/611 8521\n'
Stat at 15 August 2023 - 18:55:26.885170: files_count=5, file_size='1M', proc_load='0.24 0.28 0.32 1/611 8525\n'
Stat at 15 August 2023 - 18:57:16.093903: files_count=5, file_size='1M', proc_load='0.37 0.33 0.33 2/611 8588\n'
Stat at 15 August 2023 - 18:57:16.239760: files_count=5, file_size='1M', proc_load='0.37 0.33 0.33 1/611 8616\n'
Stat at 15 August 2023 - 19:07:59.886763: files_count=5, file_size='1M', proc_load='0.28 0.31 0.29 1/613 8796\n'
Stat at 15 August 2023 - 19:08:00.032776: files_count=5, file_size='1M', proc_load='0.28 0.31 0.29 1/613 8824\n'
Stat at 15 August 2023 - 19:08:00.177359: files_count=5, file_size='1M', proc_load='0.28 0.31 0.29 1/613 8852\n'
Stat at 15 August 2023 - 19:09:26.208311: files_count=5, file_size='1M', proc_load='0.25 0.29 0.28 2/613 8900\n'
Stat at 15 August 2023 - 19:09:56.779824: files_count=5, file_size='1M', proc_load='0.15 0.26 0.27 7/611 8942\n'
Stat at 15 August 2023 - 19:09:56.930048: files_count=5, file_size='1M', proc_load='0.15 0.26 0.27 2/611 8970\n'
Stat at 15 August 2023 - 19:09:57.076134: files_count=5, file_size='1M', proc_load='0.15 0.26 0.27 1/611 8998\n'
Stat at 19 August 2023 - 15:54:53.279933: files_count=5, file_size='1M', proc_load='0.59 0.39 0.43 3/621 25272\n'
Stat at 19 August 2023 - 15:55:45.191794: files_count=5, file_size='1M', proc_load='0.50 0.40 0.43 6/621 25308\n'
